title,release_year,locations,fun_facts,production_company,distributor,director,writer,actor_1,actor_2,actor_3,state,addressBook,point
The Last Black Man in San Francisco,2019,Market/Portola btwn O'Shaughnessy and Castro,,"LBMISF, LLC",A36,Joe Talbot,"Joe Talbot, Jimmie Fails, Rob Richert",Jimmie Fails,Jonathan Majors,Danny Glover,CA,San Francisco,POINT (-122.435159992 37.762639983)
"Smile Again, Jenny Lee",2015,New Taraval Café (1054 Taraval St.),,Carlo Caldana/Marguery Films,,Carlo Caldana,Linda Demetrick,Craig Tsuyumine,Puneet Prasad,Larry Kitagawa,CA,San Francisco,POINT (-122.477728 37.743106)
Looking,2014,Union Square,,"Mission Street Productions, LLC",Home Box Office (HBO),Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie J. Alvarez,Murray Bartlett,CA,San Francisco,POINT (-122.40748 37.78782)
GirlBoss,2017,"Macchiarini Steps, Kearny between Vallejo and Broadway",The namesake for the steps was an Italian-American California-based modernist jeweler and sculptor who pioneered avant-garde jewelry.,"Hippolyta Productions, LLC",Netflix,"Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Kay Cannon,Britt Robertson,Ellie Reed,Amanda Rea,CA,San Francisco,POINT (-122.41461997 37.796900006)
I Am Michael,2015,Harvey Milk Plaza,,That’s Hollywood,,Justin Kelly,Justin Kelly,James Franco,Emma Roberts,Zachary Quinto,CA,San Francisco,POINT (-122.43522 37.76258)
Looking,2014,St. Francis Fountain,,"Mission Street Productions, LLC",Home Box Office (HBO),Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie J. Alvarez,Murray Bartlett,CA,San Francisco,POINT (-122.408337 37.752732)
Edtv,1999,Mario's Bohemian Cigar Store (Washington Square),,Imagine Entertainment,MCA / Universal Pictures,Ron Howard,Lowell Ganz,Matthew McConaughey,Jenna Elfman,,CA,San Francisco,POINT (-122.409891 37.800265)
Fearless,1993,Folsom Street & Embarcadero,,Spring Creek Productions,Warner Bros. Pictures,Peter Weir,Rafael Yglesias,Jeff Bridges,Isabella Rosellini,Rosie Perez,CA,San Francisco,POINT (-122.390159984 37.79076001)
Looking Season 2 ep 209,2015,"SF Zoo, 2945 Sloat Blvd",,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,CA,San Francisco,POINT (-122.505668046 37.735352691)
Pushing Dead,2016,Octavia at Grove Street,,"Pushing Dead , LLC",TBD,Tom Brown,Tom Brown,Danny Glover,James Roday,Robin Weigert,CA,San Francisco,POINT (-122.424810018 37.777619994)
"Smile Again, Jenny Lee",2015,883 42nd Ave.,,Carlo Caldana/Marguery Films,,Carlo Caldana,Linda Demetrick,Craig Tsuyumine,Puneet Prasad,Larry Kitagawa,CA,San Francisco,POINT (-122.502719975 37.772080017)
Terminator - Genisys,2015,California between Leavenworth and Powell,,T5 Productions LLC,Paramount Pictures,Alan Taylor,James Cameron,Arnold Schwarzenegger,Jason Clarke,,CA,San Francisco,POINT (-122.409169973 37.792049985)
"Murder in the First, Season 3",2016,500 Grove Street,,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale,CA,San Francisco,POINT (-122.425064995 37.77774698)
Boys and Girls,2000,City Hall,"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",Punch 21 Productions,Dimension Films,Robert Iscove,The Drews,"Freddie Prinze, Jr.",Alyson Hannigan,,CA,San Francisco,POINT (-122.290284937 38.004649955)
Chance Season 2,2017,Embarcadero between Harrison and Folsom St,,TVM Productions Inc.,Hulu,Rozann Dawson,Alexandra Cunningham,Hugh Laurie,Greta Lee,Ethan Suplee,CA,San Francisco,POINT (-122.390159984 37.79076001)
Chance Season 2,2017,Columbus between Filbert and Lombard St,,TVM Productions Inc.,Hulu,Rozann Dawson,Alexandra Cunningham,Hugh Laurie,Greta Lee,Ethan Suplee,CA,San Francisco,POINT (-122.413669965 37.802740013)
"Murder in the First, Season 3",2016,Linden Alley between Octavia and Gough Streets,,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale,CA,San Francisco,POINT (-122.422880001 37.776419999)
Chance- Season 1 ep103,2016,Laguna Honda Hospital,,TVM Productions,HULU,Michael Lehmann,Kem Nunn,Hugh Laurie,Gretchen Mol,Ethan Suplee,CA,San Francisco,POINT (-122.45715 37.74909)
"Smile Again, Jenny Lee",2015,Ocean Beach Motel (2690 46th Ave.),,Carlo Caldana/Marguery Films,,Carlo Caldana,Linda Demetrick,Craig Tsuyumine,Puneet Prasad,Larry Kitagawa,CA,San Francisco,POINT (-122.503916995 37.736504999)
The Phone/Jexi,2019,Market at Cyril Magnin,,CBS Films Inc.,Lionsgate,"Jon Lucas, Scott Moore","Jon Lucas, Scott Moore",Adam Devine,Alexandra Shipp,Michael Pena,CA,San Francisco,POINT (-122.408060041 37.784000005)
Sense8,2015,Z Space Studios; 450 Florida St.,"Filming of the ""Fresh Meat"" Festival","Unpronounceable Productions, LLC",Netflix,The Wachowskis,The Wachowskis,Jamie Clayton,,,CA,San Francisco,POINT (-122.411729974 37.763457009)
Looking Season 2 ep 204,2015,534 Hyde Street,,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,CA,San Francisco,POINT (-122.416157966 37.785925999)
Dream with the Fishes,1997,Bay Bridge,"Before opening in 1936, the bridge was blessed by Cardinal Secretary of State Eugenio Pacelli, who later became Pope Pius XII.",3 Ring Circus Films,Sony Pictures Classics,Finn Taylor,Finn Taylor & Jeffrey Brown,David Arquette,Brad Hunt,,CA,San Francisco,POINT (-122.37693 37.79894)
Venom,2018,"Huntington Park, Pine/Kearny, Bush/Hyde",,"L.O.Z. Productions, Inc.","Columbia Pictures, Sony Pictures Releasing",Ruben Fleischer,"Jeff Pinkner, Scott Rosenberg",Tom Hardy,Michelle Wiliams,Riz Ahmed,CA,San Francisco,POINT (-122.421295902 37.643716964)
The Matrix Resurrections,2021,Pine and Grant Ave,,"Adobe Pictures, Inc.",Warner Brothers,Lana Wachowski,"Lana Wachowski, David Mitchell, Aleksander Hemon",Keanu Reeves,Keanu Reeves,Neil Patrick Harris,CA,San Francisco,POINT (-122.405719982 37.791509981)
Chance Season 2,2017,Presidio Heights Neighborhood,,TVM Productions Inc.,Hulu,Rozann Dawson,Alexandra Cunningham,Hugh Laurie,Greta Lee,Ethan Suplee,CA,San Francisco,POINT (-122.45166 37.79028)
Quitters,2015,McLaren Lodge,,"Frederick & Ashbury, LLC.",,Noah Pritzker,Noah Pritzker,Kara Hayward,Mira Sorvino,Saffron Burrows,CA,San Francisco,POINT (-122.45442 37.77187)
Goliath- Season 4,2021,Washington and Spofford,,"Picrow, Inc.",Amazon Studios,"Billy Bob Thornton, Lawrence Trilling, Derek Johansen","David E. Kelley, Jonathan Shapiro",Billy Bob Thornton,Nina Arianda,Tania Raymonde,CA,San Francisco,POINT (-122.407540028 37.79504002)
Americana,2015,John Shelley Drive John McLaren Park,,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote,CA,San Francisco,POINT (-122.212465187 38.096649981)
Parks and Recreation,2014,Embarcadero & Market,,"NBC Universal Media, LLC","NBC Universal Media, LLC",Dean Holland,Greg Daniels,Amy Poehler,,,CA,San Francisco,POINT (-122.396298608 37.793521313)
The Presidio,1988,Coit Tower,"The Tower was funded by a gift bequeathed by Lillie Hitchcock Coit, a socialite who reportedly liked to chase fires. Though the tower resembles a firehose nozzle, it was not designed this way.",Paramount Pictures,Paramount Pictures,Peter Hyams,Larry Ferguson,Sean Connery,Mark Harmon,Meg Ryan,CA,San Francisco,POINT (-122.40584 37.80237)
Looking,2014,Church and Duboce Muni Station,,"Mission Street Productions, LLC",Home Box Office (HBO),Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie J. Alvarez,Murray Bartlett,CA,San Francisco,POINT (-122.429119992 37.769460002)
Dirty Harry,1971,"Washington Square, North Beach",,The Malpaso Company,Warner Brothers,Don Siegel,Harry Julian Fink,Clint Eastwood,Harry Guardino,,CA,San Francisco,POINT (-122.471975191 37.794589154)
Blue Jasmine,2013,South Park,,Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,CA,San Francisco,POINT (-122.39386 37.78145)
My Big Fat Chinese Christmas,2022,Grant Avenue between Clay and California,,Hongbao Productions,Hallmark Channel,Jennifer Liao,"Blaine Chiappetta ,Marguerite Henry, Justine Wentzell-Chang",Shannon Chan-Kent,Shannon Kook,Tia Carrere,CA,San Francisco,POINT (-122.405889967 37.792459986)
The Bachelor,1999,Danilo's Bakery (Green Street & Bannam Place),,George Street Pictures,New Line Cinema,Gary Sinyor,Steve Cohen,Chris O'Donnell,Renee Zellweger,,CA,San Francisco,POINT (-122.407700039 37.799659999)
The Phone/Jexi,2019,3200 16th St at Guerrero,,CBS Films Inc.,Lionsgate,"Jon Lucas, Scott Moore","Jon Lucas, Scott Moore",Adam Devine,Alexandra Shipp,Michael Pena,CA,San Francisco,POINT (-122.424099987 37.764780008)
DEVS,2020,Alameda at San Bruno Ave,,Minim Productions,FX Network,Alex Garland,Alex Garland,Sonoya Mizuno,Nick Offerman,Jin Ha,CA,San Francisco,POINT (-122.405759963 37.768499981)
Shang-Chi and the Legend of the Ten Rings,2021,Jones between Post and California,,Freelance Restorations LLC,Disney/Marvel,Destin Daniel Cretton,"Dave Callaham, Destin Daniel Cretton, Andrew Lanham",Simu Liu,Tony Chiu-Wai Leung,Awkwafina,CA,San Francisco,POINT (-122.414110015 37.791420001)
Guess Who's Coming to Dinner,1967,634 Raycliff Terrace,,Columbia Pictures Corporation,Columbia Pictures,Stanley Kramer,William Rose,Spencer Tracy,Sidney Poitier,Katharine Hepburn,CA,San Francisco,POINT (-122.442705552 37.792670378)
Nash Bridges,2021,"Pier 28, Hi-Dive",,"Village NB Productions, LLC",USA Nework,Greg Beeman,"Carlton Cuse, Bill Chais",Don Johnson,Cheech Marin,Joe Dinicol,CA,San Francisco,POINT (-122.386371029 37.788132996)
Looking,2014,The Fairmont,,"Mission Street Productions, LLC",Home Box Office (HBO),Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie J. Alvarez,Murray Bartlett,CA,San Francisco,POINT (-122.426833532 37.738889283)
DEVS,2020,Judah at 9th Ave,,Minim Productions,FX Network,Alex Garland,Alex Garland,Sonoya Mizuno,Nick Offerman,Jin Ha,CA,San Francisco,POINT (-122.46617999 37.762179984)
Women is Losers,2020,1336 Rhode Island St,,Look at the Moon Pictures,,Lissette Feliciano,Lissette Feliciano,Lorenza Izzo,Simu Liu,Liza Weil,CA,San Francisco,POINT (-122.401697003 37.752743008)
Getting Even with Dad,1994,Candlestick Park (602 Jamestown Ave.),"Then Vice President Richard Nixon threw out the first pitch when Candlestick opened in 1960. On August 29, 1966, The Beatles played their last concert for paying fans at Candlestick Park.",Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM),Howard Deutch,Tom S. Parker,Macaulay Culkin,Ted Danson,,CA,San Francisco,POINT (-122.387944392 37.713026395)
Chance- Season 1 ep110,2016,"Cliffhouse, 1090 Point Lobos Ave.",,TVM Productions,HULU,Alexandra Cunningham and Kem Nunn,Michael Lehmann,Hugh Laurie,Gretchen Mol,Ethan Suplee,CA,San Francisco,POINT (-122.51405 37.77849)
Surface,2022,Taylor Street between Green and Broadway,,"Apple Studios, LLC",Apple TV+,"Sam Miller, Kevin Rodney Sullivan, Jennifer Morrison, Tucker Gates","Veronica West, Erica L. Anderson,Tony Saltzman, Glenise Mullins, Leigh Ann Biety, Dan Lee West, Leigh Ann Biety & Raven Jackson, Martín Zimmerman",Gugu Mbatha-Raw,Oliver Jackson-Cohen,Ari Graynor,CA,San Francisco,POINT (-122.413539962 37.797030009)
GirlBoss,2017,"Musee Mecanique, Fisherman's Wharf",An interactive museum consisting of 20th century penny arcade games and artifacts.,"Hippolyta Productions, LLC",Netflix,"Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Kay Cannon,Britt Robertson,Ellie Reed,Amanda Rea,CA,San Francisco,POINT (-122.40625 37.80655)
"Smile Again, Jenny Lee",2015,Hyatt Hotel (555 North Point St.),,Carlo Caldana/Marguery Films,,Carlo Caldana,Linda Demetrick,Craig Tsuyumine,Puneet Prasad,Larry Kitagawa,CA,San Francisco,POINT (-122.41609 37.80602)
The OA Part II,2019,724 Larkin St,,Lunar Mining LLC,Netflix,Zal Batmanglij,"Zal Batmanglij, Brit Marling",Brit Marling,Emory Cohen,Patrick Gibson,CA,San Francisco,POINT (-122.417551038 37.784635018)
The OA Part II,2019,Pier 43,,Lunar Mining LLC,Netflix,Zal Batmanglij,"Zal Batmanglij, Brit Marling",Brit Marling,Emory Cohen,Patrick Gibson,CA,San Francisco,POINT (-122.41414 37.80993)
Nash Bridges,2021,"950 Mason Street, Fairmont Hotel",Trevor Garriosn hosts party inside Fairmont Presidential Suite,"Village NB Productions, LLC",USA Nework,Greg Beeman,"Carlton Cuse, Bill Chais",Don Johnson,Cheech Marin,Joe Dinicol,CA,San Francisco,POINT (-122.41075 37.79232)
The Lady from Shanghai,1947,Former Hall of Justice (750 Kearny Street at Washington),,Columbia Pictures Corp.,Columbia Pictures,Orson Welles,Orson Welles,Rita Hayworth,Orson Welles,Everett Sloane,CA,San Francisco,POINT (-122.404282988 37.795172999)
The Princess Diaries,2001,Firestation #3 (Brazil Avenue and Athens Street),,Walt Disney Pictures,Buena Vista Pictures,Garry Marshall,Gina Wendkos,Julie Andrews,Anne Hathway,,CA,San Francisco,POINT (-122.428429994 37.721639987)
The Woman In Red,1984,Brocklebank Apartments (1000 Mason Street),,Orion Pictures Corp.,MGM Home Entertainment,Gene Wilder,Jean Loup Dabadie & Yves Robert,Gene Wilder,Charles Grodin,,CA,San Francisco,POINT (-122.410631023 37.793108997)
Memoirs of an Invisible Man,1992,St. Elizabeth Apartment House (901 Powell Street at Sacramento),,Warner Bros. Pictures,Warner Bros. Pictures,John Carpenter,Robert Collector,Chevy Chase,Daryl Hannah,Sam Neill,CA,San Francisco,POINT (-122.409662997 37.793074002)
Jade,1995,Hall of Justice (850 Bryant Street),,Paramount Pictures,Paramount Pictures,William Friedkin,Joe Eszterhas,David Caruso,Linda Fiorentino,Chazz Palminteri,CA,San Francisco,POINT (-122.404281982 37.775144986)
Tales of the City,2019,766 Vallejo St,,Universal Television LLC,Netflix,"Alan Poul, Silas Howard, Stacie Passon","Armistead Maupin, Lauren Morelli, Hansol Jung, Marcus Gardley",Laura Linney,Ellen Page,Murray Bartlett,CA,San Francisco,POINT (-122.409927027 37.798730991)
Chance- Season 1 ep104,2016,901/909Tennessee St.,,TVM Productions,HULU,Carl Franklin,Peter Elkoff,Hugh Laurie,Gretchen Mol,Ethan Suplee,CA,San Francisco,POINT (-122.389146025 37.760004)
Ant-Man and the Wasp,2018,490 Geary St,VFX Plate Shots,"PYM Particles Productions II, LLC",Walt Disney Studios Motion Pictures,Peyton Reed,Chris McKenna,Paul Rudd,Evangeline Lilly,Michael Douglas,CA,San Francisco,POINT (-122.411336024 37.78715399)
Chance Season 2,2017,"Taylor St, north of Jefferson St to end",,TVM Productions Inc.,Hulu,Rozann Dawson,Alexandra Cunningham,Hugh Laurie,Greta Lee,Ethan Suplee,CA,San Francisco,POINT (-122.415801295 37.808228468)
Bullitt,1968,Bayshore Blvd near Cesar Chavez (Bayview),,"Warner Brothers / Seven Arts
Seven Arts",Warner Brothers,Peter Yates,Alan R. Trustman,Steve McQueen,Jacqueline Bisset,Robert Vaughn,CA,San Francisco,POINT (-122.398960453 37.715224254)
The Diary of a Teenage Girl,2015,Geary St. from Polk to Larkin,,"Diary the Movie, LLC",Sony Pictures Classics,Marielle Heller,Marielle Heller,Alexander Skarsgard,Kristen Wiig,Christopher Meloni,CA,San Francisco,POINT (-122.418044341 37.78611728)
"Looking ""Special""",2016,"Encore Karaoke, 1550 California Street",,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,CA,San Francisco,POINT (-122.420112967 37.790965996)
The Enforcer,1976,Sutter & Webster Streets,,Warner Bros. Pictures,Warner Bros. Pictures,James Fargo,Stirling Silliphant,Clint Eastwood,Tyne Daly,Harry Guardino,CA,San Francisco,POINT (-122.431530041 37.786310016)
DEVS,2020,Brannan btwn 3rd and 6th St,,Minim Productions,FX Network,Alex Garland,Alex Garland,Sonoya Mizuno,Nick Offerman,Jin Ha,CA,San Francisco,POINT (-122.400959983 37.774829994)
Guess Who's Coming to Dinner,1967,Mel's Drive-In (Corner South Van Ness & Mission St.),This restaurant location was demolished; however another Mel's was reopened in 1986 on 3355 Geary Blvd.,Columbia Pictures Corporation,Columbia Pictures,Stanley Kramer,William Rose,Spencer Tracy,Sidney Poitier,Katharine Hepburn,CA,San Francisco,POINT (-122.418649989 37.773100011)
Chu Chu and the Philly Flash,1981,"Fairmont Hotel (950 Mason Street, Nob Hill)","In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinius drafted the charter in the hotel's Garden Room.",Melvin Simon Productions,Columbia Broadcasting System (CBS),David Lowell Rich,Barbara Dana,Alan Arkin,Carol Burnett,,CA,San Francisco,POINT (-122.41075 37.79232)
The Conversation,1974,"Westin St. Francis Hotel (335 Powell Street, Union Square)","The hotel was originally supposed to be named the Crocker Hotel, after Charles Founder the railroad magnate who founded it. However, the hotel took the name the St. Francis after one of the earliest Gold Rush hotels.",American Zoetrope,Paramount Pictures,Francis Ford Coppola,Francis Ford Coppola,Gene Hackman,John Cazale,Allen Garfield,CA,San Francisco,POINT (-122.40833 37.78788)
Nash Bridges,2021,"Broadway Studios, 435 Broadway",,"Village NB Productions, LLC",USA Nework,Greg Beeman,"Carlton Cuse, Bill Chais",Don Johnson,Cheech Marin,Joe Dinicol,CA,San Francisco,POINT (-122.404509 37.7979)
Terminator - Genisys,2015,Pine St. between Market and Montgomery,,T5 Productions LLC,Paramount Pictures,Alan Taylor,James Cameron,Arnold Schwarzenegger,Jason Clarke,,CA,San Francisco,POINT (-122.401990035 37.788770021)
Flower Drum Song,1961,Chinatown,"First established in the mid-19th Century, SF's Chinatown is the oldest and largest Chinatown in the US.",Fields Productions,Universal Pictures,Henry Koster,Joseph Fields,Nancy Kwan,James Shigeta,Benson Fong,CA,San Francisco,POINT (-122.40858 37.7966)
The Towering Inferno,1974,"Bank of America Building (555 California Street, Financial District)","The Bank of America Building was the tallest building on the West Coast from 1969-1972, when it was surpassed by the TransAmerica Pyramid. Today, the Bank of America building is the 5th tallest building on the West Coast.",Irwin Allen Productions,Twentieth Century - Fox,John Guillermin,Stirling Silliphant,Steve McQueen,Paul Newman,William Holden,CA,San Francisco,POINT (-122.403486037 37.792262006)
San Andreas,2015,Intersection of Lombard and Hyde,,"Upside Down Productions, Inc.",Warner Bros.,Brad Peyton,Allan Loeb,Dwayne Johnson,,,CA,San Francisco,POINT (-122.419620027 37.802000017)
Cherish,2002,387 Fair Oaks at 25th Street,,3 Ring Circus Films,Fine Line Features,Finn Taylor,Finn Taylor,Brad Hunt,Robin Tunney,,CA,San Francisco,POINT (-122.423820031 37.75032001)
